"included","table_id","priority","long_name","units","comment","questions & notes","out_name","standard_name","uncinfirmed or proposed standard name","unformatted units","cell_methods","valid_min","valid_max","ok_min_mean_abs","ok_max_mean_abs","positive","dimensions","type","name","modeling_realm","frequency","cell_measures","flag_values","flag_meanings","OMIP priority","OMIP override"
"0","aero","1","Load of Dry Aerosol Organic Matter","kg m-2","atmosphere dry organic content: This is the vertically integrated sum of atmosphere_primary_organic_content and atmosphere_secondary_organic_content (see next two table entries).","None","loadoa","atmosphere_mass_content_of_particulate_organic_matter_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of Dry Aerosol Primary Organic Matter","kg m-2","","None","loadpoa","atmosphere_mass_content_of_primary_particulate_organic_matter_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadpoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of Dry Aerosol Secondary Organic Matter","kg m-2","","None","loadsoa","atmosphere_mass_content_of_secondary_particulate_organic_matter_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadsoa","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of Black Carbon Aerosol","kg m-2","","None","loadbc","atmosphere_mass_content_of_black_carbon_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadbc","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of SO4","kg m-2","","None","loadso4","atmosphere_mass_content_of_sulfate_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadso4","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of Dust","kg m-2","","None","loaddust","atmosphere_mass_content_of_dust_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loaddust","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of Seasalt","kg m-2","","None","loadss","atmosphere_mass_content_of_seasalt_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadss","aerosol","mon","area: areacella","None","None","",""
"0","aero","1","Load of NO3","kg m-2","","None","loadno3","atmosphere_mass_content_of_nitrate_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadno3","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Load of NH4","kg m-2","","None","loadnh4","atmosphere_mass_content_of_ammonium_dry_aerosol","None","kg m-2","time: mean","","","","","","longitude latitude time","real","loadnh4","aerosol","mon","area: areacella","None","None","",""
"0","aero","3","Surface Concentration of Dry Aerosol Organic Matter","kg m-3","mass concentration of particulate organic matter dry aerosol in air in model lowest layer","None","sconcoa","mass_concentration_of_particulate_organic_matter_dry_aerosol_in_air","None","kg m-3","time: mean","","","","","","longitude latitude alev1 time","real","sconcoa","aerosol","mon","area: areacella","None","None","",""
